iter	Logloss
0	0.6669299495
1	0.6381358697
2	0.6097451137
3	0.5895712777
4	0.5665634048
5	0.5485452038
6	0.5318069506
7	0.5121284222
8	0.4981788924
9	0.4806232295
10	0.4576144724
11	0.4402603776
12	0.4230786842
13	0.4116125583
14	0.4021094295
15	0.3859871782
16	0.371018925
17	0.3571177093
18	0.3473737777
19	0.3417099422
20	0.3342211033
21	0.3263230608
22	0.3129529504
23	0.3053847437
24	0.2966571799
25	0.2879448681
26	0.2762388843
27	0.2669071222
28	0.2589182399
29	0.2514500656
30	0.2470674282
31	0.2426145851
32	0.233399826
33	0.2294391172
34	0.2231274581
35	0.2171611989
36	0.2127056536
37	0.2069442435
38	0.1995793053
39	0.1928185116
40	0.1889465124
41	0.1849101852
42	0.1814441208
43	0.1759412107
44	0.1722067906
45	0.1687653793
46	0.1647764089
47	0.1598053404
48	0.1561666521
49	0.1521997002
50	0.1488373514
51	0.1451469297
