iter	Passed	Remaining
0	18	18394
1	37	18603
2	55	18310
3	72	18011
4	89	17866
5	105	17554
6	122	17336
7	137	17110
8	155	17169
9	173	17143
10	193	17376
11	208	17203
12	228	17322
13	245	17290
14	260	17131
15	276	17024
16	293	16969
17	310	16953
18	326	16857
19	343	16849
20	361	16865
21	377	16775
22	393	16717
23	409	16665
24	427	16667
25	443	16625
26	460	16578
27	476	16540
28	493	16524
29	511	16538
30	528	16531
31	548	16601
32	564	16555
33	581	16511
34	598	16499
35	614	16445
36	630	16400
37	646	16368
38	664	16381
39	684	16418
40	701	16410
41	717	16365
42	731	16283
43	746	16222
44	762	16173
45	777	16120
46	793	16084
47	808	16038
48	824	16010
49	841	15985
50	857	15950
51	874	15947
